id,external_id,message_preview,hash,published_at,created_at,source_id,source_name
363981,5700,"💫 Pair: SUI/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...Take Profit: 0.7730 📈

⚠️ Stop Loss: 0.6760 ⚠️

📈📈",cbb92fe84a036feb1ec8e89c7bd3c808,2026-07-01T20:50:17+00:00,2026-07-02T08:34:28.824157+00:00,173,t.me/GainsofCrypto
363978,5698,"💫 Pair: WLD/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...Take Profit: 0.4300 📈

⚠️ Stop Loss: 0.3800 ⚠️

📈📈",17539824ab111336c416c58b5313c466,2026-07-01T16:29:32+00:00,2026-07-02T08:34:28.806890+00:00,173,t.me/GainsofCrypto
421205,5816,"💫 Pair: SPX/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...Take Profit: 0.3500 📈

⚠️ Stop Loss: 0.3150 ⚠️

📈📈",d47faeff12c9e094b9b07851994a5fde,2026-07-29T14:26:36+00:00,2026-07-29T20:09:54.506190+00:00,173,t.me/GainsofCrypto
421202,5815,"💫 Pair: ETH/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...ke Profit: 2000.00 📈

⚠️ Stop Loss: 1870.00 ⚠️

📈📈",f5910279ce4fab682e5edbf7a45c9471,2026-07-29T13:57:08+00:00,2026-07-29T20:09:54.484762+00:00,173,t.me/GainsofCrypto
421194,5809,"💫 Pair: ARB/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...Take Profit: 0.0880 📈

⚠️ Stop Loss: 0.0749 ⚠️

📈📈",cc1918e6b7e0d4d582f753f65d0630e0,2026-07-28T14:02:17+00:00,2026-07-29T20:09:54.432468+00:00,173,t.me/GainsofCrypto
421199,5808,"💫 Pair: ETH/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...ke Profit: 2050.00 📈

⚠️ Stop Loss: 1798.00 ⚠️

📈📈",9732579c66810e3f93e9bd80b8b1ae30,2026-07-28T12:08:28+00:00,2026-07-29T20:09:54.458704+00:00,173,t.me/GainsofCrypto
421172,5806,"💫 Pair: XAU/USDT  💫

🔼 Direction: Long 🔼

✅ Levera...ke Profit: 4100.00 📈

⚠️ Stop Loss: 4025.00 ⚠️

📈📈",d5d73cd0c4f7a581d053e285cce91cf9,2026-07-28T09:09:56+00:00,2026-07-29T20:09:54.203085+00:00,173,t.me/GainsofCrypto
421176,5803,"💫 Pair: BTC/USDT  💫

🔼 Direction: Long 🔼

✅ Levera... Profit: 68050.00 📈

⚠️ Stop Loss: 62250.00 ⚠️

📈📈",628564d81d8b9976b55260964e88dc06,2026-07-27T12:41:24+00:00,2026-07-29T20:09:54.342251+00:00,173,t.me/GainsofCrypto
421183,5797,"💫 Pair: NEAR/USDT  💫

 🔽 Direction: Short 🔽

✅ Lev...📉 Take Profit: 1.918 📉

⚠️ Stop Loss: 2.018 ⚠️

📉📉",6854260524dbf7e44dcde41800fa3ba6,2026-07-20T13:16:03+00:00,2026-07-29T20:09:54.391094+00:00,173,t.me/GainsofCrypto
421173,5796,"💫 Pair: ZEC/USDT  💫

 🔽 Direction: Short 🔽

✅ Leve...Take Profit: 508.00 📉

⚠️ Stop Loss: 566.00 ⚠️

📉📉",55c76e21310abb6a53f512cffff0797c,2026-07-20T12:10:26+00:00,2026-07-29T20:09:54.324181+00:00,173,t.me/GainsofCrypto
